"Treat" "tot04" "tot08" "tot12" "adt04" "adt08" "adt12" "length" "width" "speed" "shoulder" "driveways" "intersections" "curves" "curvature"
"1" 0 1 1 1 7853 7928 8391.33333333333 0.663 ">= 24" "High" "> 6" "None" "None" "None" 0
"2" 0 1 1 1 7853 7928 8391.33333333333 0.643 ">= 24" "High" "> 6" "None" "None" "None" 0
"3" 0 2 3 0 9677 11759 10786.3333333333 0.426 ">= 24" "Low" "> 6" "> 0 and <= 10" "None" "None" 0
"4" 0 0 0 1 5433 5979 6229.16666666667 0.61 "> 20 and < 24" "Low" "> 3 and <= 6" "> 10" "None" "None" 0
"5" 0 0 0 0 5433 5979 6272 0.645 "> 20 and < 24" "Low" "> 3 and <= 6" "> 0 and <= 10" "None" "None" 0
"6" 0 1 2 0 5433 5979 6272 0.581 "> 20 and < 24" "Low" "> 3 and <= 6" "> 10" "None" "None" 0
"7" 0 0 1 1 5433 5979 6272 0.475 "> 20 and < 24" "Low" "> 3 and <= 6" "> 10" "None" "None" 0
"8" 0 2 0 3 5433 5979 6026.83333333333 0.497 ">= 24" "Low" "<= 3" "> 10" ">= 1" "None" 0
"9" 0 3 0 0 8201 9229 9692 0.582 "> 20 and < 24" "High" "> 3 and <= 6" "> 0 and <= 10" ">= 1" "None" 0
"10" 0 0 3 0 8201 9229 9692 0.67 "> 20 and < 24" "High" "<= 3" "> 0 and <= 10" "None" "None" 0
"11" 0 1 3 1 8201 9229 9692 0.659 "> 20 and < 24" "High" "<= 3" "> 10" "None" "None" 0
"12" 0 1 0 0 3923 4253 4555.33333333333 0.43 ">= 24" "Low" "> 3 and <= 6" "> 10" ">= 1" ">= 1" 3.82978
"13" 0 2 1 1 7855 8514 7802.33333333333 0.582 "> 20 and < 24" "Low" "> 3 and <= 6" "> 10" ">= 1" "None" 0
"14" 0 1 0 0 7855 8514 7802.33333333333 0.46 "> 20 and < 24" "Low" "> 3 and <= 6" "> 0 and <= 10" ">= 1" "None" 0
"15" 0 3 0 2 7855 8514 7802.33333333333 0.496 "> 20 and < 24" "Low" "> 3 and <= 6" "> 10" "None" "None" 0
"16" 0 0 0 2 7400 7707 9382.66666666667 0.24 "> 20 and < 24" "Low" "> 6" "> 0 and <= 10" "None" "None" 0
